![image.png](https://cdn.steemitimages.com/DQmVStQp6vdGH9kr7s1Pji4a97Rate5GPnh884r38v7GBgA/image.png)

Лидер рейтинга (Rating leader): 

Пост для вознаграждения (Reward post):

Thank you for your activity! The leader of the rating receives a reward in the form of upvotes of the entire rating support team. The description of the command is below. I invite you to join the team. Every cent and every upvote counts!

Благодарим за активность! Лидер рейтинга получает вознаграждение в виде апвоутов всей команды поддержки рейтинга. Описание команды ниже по ссылке. Приглашаю присоединиться к команде. Важен каждый цент и каждый апвоут!

<a href="https://steemit.com/hive-171319/@alexmove/eto-vazhno-prizyv-progolosovat-steem-market-reiting-i-proverka-unikalnosti">Поддержите проект голосованием за свидетелей</a>
<a href="https://steemit.com/steemit/@alexmove/it-is-important-please-vote-steem-market-rating-and-uniqueness-check
">Support the project by voting for witnesses</a>


Анализ комментариев и постов, на основании которого построен общий рейтинг:

<a href="https://steemit.com/@alexmove.witness/steembrurank20220217">Ссылка на рейтинг постов</a>
<a href="https://steemit.com/@alexmove.witness/steembrurankcom20220217">Ссылка на рейтинг комментариев</a>

<h2>Рейтинг за день </h2>
|N|аккаунт|баллы за комментарии|баллы за посты|общий балл за день|
------------|-------------|------------|-------------|---------|
|1|bukvoed|10|2.9|12.9|
|2|antorv|10.5|2.3|12.8|
|3|mamamasha|10.6|2|12.6|
|4|solox|9.7|2.7|12.4|
|5|zorajaime|9.4|2.4|11.8|
|6|olga.maslievich|9.5|2.1|11.6|
|7|may2015|8.8|2.6|11.4|
|8|strawberrry|9.6|1.7|11.3|
|9|antikus369|8.2|3.1|11.3|
|10|nexcis|9.9|1.4|11.3|
|11|tinochka2|10.3|0.6|10.9|
|12|svetozarnaya|8|2.8|10.8|
|13|notannov|10.4|0.4|10.8|
|14|ir3k|9.8|0.8|10.6|
|15|nishadi89|9|1.6|10.6|
|16|greatketty|10.2|0|10.2|
|17|darina14|10.1|0|10.1|
|18|pinksakura|8.7|1.1|9.8|
|19|vlad26|8.4|1.3|9.7|
|20|knopka145|8.5|1|9.5|
|21|klukva|9.3|0|9.3|
|22|galca|9.2|0|9.2|
|23|fuegohelado|9.1|0|9.1|
|24|arshani|8.9|0|8.9|
|25|apnigrich|8.6|0|8.6|
|26|greencmetaha|7.8|0.7|8.5|
|27|diivlev|8.1|0.3|8.4|
|28|nilpan|8.3|0|8.3|
|29|lilia737|7.9|0|7.9|
|30|alexmove|0|3.3|3.3|
|31|soroka74|0|3.2|3.2|
|32|alena-vladi|0|2.5|2.5|
|33|steem-bru|0|2.2|2.2|
|34|progressivechef|0|1.8|1.8|
|35|olesia|0|1.5|1.5|
|36|radmi|0|1.2|1.2|
|37|strecoza|0|0.9|0.9|
|38|filinpaul|0|0.5|0.5|
|39|ekatirina|0|0.2|0.2|
|40|slon21veka|0|0.1|0.1|
